make,price,body_type,type,mileage,gearbox,fuel_type,seller,engine_size,cylinders,fuel_consumption,empty_weight,model,location,age,power,owner
Mercedes-Benz,69900,Compact,Used,18900.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,2.0,421,other_owner
Mercedes-Benz,16800,Compact,Used,197000.0,Automatic,Diesel,Dealer,2143,4.0,4.9,1545.0,A 45 AMG,ES,7.0,136,other_owner
Mercedes-Benz,23900,Compact,Used,21854.0,Automatic,Diesel,Dealer,1991,4.0,5.4,1365.0,A 200,ES,4.0,139,other_owner
Mercedes-Benz,37999,Compact,Used,90000.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1555.0,A 45 AMG,ES,6.0,381,other_owner
Mercedes-Benz,24400,Compact,Used,27150.0,Manual,Diesel,Dealer,1461,4.0,4.5,1330.0,A 180,BE,2.0,116,other_owner
Mercedes-Benz,16999,Compact,Used,210000.0,Automatic,Diesel,Dealer,2143,4.0,4.9,1545.0,A 45 AMG,ES,6.0,136,other_owner
Mercedes-Benz,7450,Compact,Used,157500.0,Manual,Diesel,Dealer,1991,4.0,5.2,1295.0,A 180,DE,12.0,109,other_owner
Mercedes-Benz,29800,Compact,Used,21734.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1445.0,A 180,ES,2.0,116,other_owner
Mercedes-Benz,37490,Compact,Used,81500.0,Automatic,Benzine,Dealer,1991,4.0,6.9,1555.0,A 45 AMG,ES,6.0,381,other_owner
Mercedes-Benz,21000,Compact,Used,172700.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,4.0,109,other_owner
Mercedes-Benz,26800,Compact,Used,18989.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1455.0,A 180,ES,2.0,116,other_owner
Mercedes-Benz,32900,Compact,Pre-registered,25.0,Manual,Benzine,Dealer,1332,4.0,7.197121228687381,1350.0,A 180,ES,1.0,136,first_owner
Mercedes-Benz,32950,Compact,Used,24244.0,Manual,Benzine,Dealer,1332,4.0,6.1,1275.0,A 200,BE,3.0,163,other_owner
Mercedes-Benz,21000,Compact,Used,172700.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,4.0,109,other_owner
Mercedes-Benz,67900,Compact,Used,6564.0,Automatic,Benzine,Dealer,1991,4.0,8.4,1555.0,A 45 AMG,ES,1.0,421,first_owner
Mercedes-Benz,29990,Compact,Used,120000.0,Automatic,Benzine,Dealer,1991,4.0,7.1,1555.0,A 45 AMG,ES,8.0,360,other_owner
Mercedes-Benz,8300,Compact,Used,71752.0,Automatic,Benzine,Dealer,2035,4.0,7.6,1275.0,A 200,DE,17.0,136,other_owner
Mercedes-Benz,32950,Compact,Used,34942.0,Automatic,Benzine,Dealer,1332,4.0,5.3,1275.0,A 200,BE,2.0,163,other_owner
Mercedes-Benz,32950,Compact,Used,20124.0,Automatic,Benzine,Dealer,1332,4.0,5.6,1295.0,A 180,BE,2.0,136,other_owner
Mercedes-Benz,18390,Compact,Used,63871.0,Automatic,Benzine,Dealer,1595,4.0,5.4,1395.0,A 180,ES,5.0,122,first_owner
Mercedes-Benz,25900,Compact,Used,26900.0,Manual,Benzine,Dealer,1332,4.0,7.197121228687381,1350.0,A 180,ES,2.0,136,other_owner
Mercedes-Benz,25400,Compact,Used,87700.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1445.0,A 180,ES,4.0,116,other_owner
Mercedes-Benz,29900,Compact,Used,52497.0,Automatic,Benzine,Dealer,1332,4.0,5.6,1295.0,A 180,BE,3.0,136,other_owner
Mercedes-Benz,14490,Compact,Used,118059.0,Manual,Diesel,Dealer,1461,4.0,3.8,1295.0,A 180,BE,8.0,109,other_owner
Mercedes-Benz,20630,Compact,Used,98258.0,Manual,Diesel,Dealer,1461,4.0,4.2,1295.0,A 180,ES,3.0,116,other_owner
Mercedes-Benz,8490,Compact,Used,141980.0,Automatic,Benzine,Dealer,1699,4.0,7.3,1295.0,A 180,DE,11.0,116,first_owner
Mercedes-Benz,23850,Compact,Used,71098.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,4.0,109,other_owner
Mercedes-Benz,29900,Compact,Used,26500.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1445.0,A 180,ES,1.0,116,first_owner
Mercedes-Benz,25900,Compact,Used,43987.0,Automatic,Diesel,Dealer,1461,4.0,3.9,1445.0,A 180,ES,3.0,116,other_owner
Mercedes-Benz,16700,Compact,Used,139000.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,6.0,109,other_owner
Mercedes-Benz,23850,Compact,Used,71098.0,Automatic,Diesel,Dealer,1461,4.0,3.7,1425.0,A 180,ES,4.0,109,other_owner
Mercedes-Benz,27460,Compact,Used,58813.0,Automatic,Benzine,Dealer,1332,4.0,5.4,1350.0,A 180,DE,2.0,136,other_owner
Mercedes-Benz,17399,Compact,Used,100640.0,Manual,Diesel,Dealer,1796,4.0,4.3,1445.0,A 200,ES,9.0,136,other_owner
